Date,Price,Open,High,Low,Change %
11/24/2023,35390.57,35299.9,35399.04,35299.9,+0.33%
11/22/2023,35272.77,35189.33,35315.12,35155.8,+0.53%
11/21/2023,35088.29,35113.5,35117.26,35038.99,-0.18%
11/20/2023,35150.97,34928.27,35226.82,34907.98,+0.58%
11/17/2023,34947.28,35018.83,35028.22,34883.03,0.00%
11/16/2023,34945.6,34877.25,35022.46,34819.0,-0.13%
11/15/2023,34991.21,34896.86,35051.04,34871.4,+0.47%
11/14/2023,34827.7,34662.83,34931.01,34645.94,+1.43%
11/13/2023,34337.67,34243.14,34405.54,34208.53,+0.16%
11/10/2023,34283.1,34048.02,34309.76,33905.62,+1.15%
11/09/2023,33891.68,34163.71,34164.8,33861.0,-0.65%
11/08/2023,34112.8,34192.84,34251.91,33997.33,-0.12%
11/07/2023,34152.8,34069.56,34206.54,34027.49,+0.17%
11/06/2023,34095.86,34085.31,34163.52,33989.72,+0.10%
11/03/2023,34061.32,33979.89,34163.31,33947.23,+0.66%
11/02/2023,33839.11,33468.04,33852.76,33451.35,+1.70%
11/01/2023,33274.58,33081.87,33334.52,33013.92,+0.67%
10/31/2023,33052.74,33029.11,33069.7,32788.18,+0.38%
10/30/2023,32928.83,32651.69,33002.7,32645.38,+1.58%
10/27/2023,32418.05,32772.91,32787.51,32328.8,-1.12%
10/26/2023,32784.3,33013.92,33103.58,32745.14,-0.76%
10/25/2023,33035.93,33203.53,33267.1,32991.15,-0.32%
10/24/2023,33141.32,33089.64,33271.99,32988.43,+0.62%
10/23/2023,32936.34,32995.76,33234.85,32893.83,-0.58%
10/20/2023,33127.21,33360.52,33423.71,33119.5,-0.86%
10/19/2023,33413.45,33684.83,33847.31,33369.54,-0.75%
10/18/2023,33665.35,33945.69,33990.43,33598.75,-0.98%
10/17/2023,33997.98,33856.81,34147.19,33854.7,+0.04%
10/16/2023,33984.21,33863.01,34087.67,33840.71,+0.93%
10/13/2023,33670.36,33743.35,33956.98,33551.65,+0.12%
10/12/2023,33631.14,33845.65,33858.39,33455.91,-0.51%
10/11/2023,33804.81,33819.47,33878.91,33613.36,+0.19%
10/10/2023,33739.3,33691.45,33897.39,33604.32,+0.40%
10/09/2023,33604.65,33289.42,33631.66,33253.96,+0.59%
10/06/2023,33407.58,33040.7,33556.26,32848.3,+0.87%
10/05/2023,33119.57,33099.23,33173.8,32942.45,-0.03%
10/04/2023,33129.29,33034.18,33156.17,32873.28,+0.38%
10/03/2023,33003.04,33301.7,33398.54,32916.26,-1.29%
10/02/2023,33433.35,33431.31,33511.91,33219.88,-0.22%
09/29/2023,33507.76,33882.41,33890.15,33408.27,-0.47%
09/28/2023,33666.14,33519.44,33777.88,33473.72,+0.34%
09/27/2023,33550.67,33682.81,33731.65,33306.3,-0.20%
09/26/2023,33618.69,33862.68,33879.71,33570.16,-1.14%
09/25/2023,34007.15,33907.59,34016.5,33781.71,+0.13%
09/22/2023,33964.44,34077.08,34156.15,33949.17,-0.31%
09/21/2023,34070.35,34332.23,34376.98,34058.72,-1.08%
09/20/2023,34440.88,34575.5,34775.41,34436.43,-0.22%
09/19/2023,34518.26,34571.84,34597.52,34312.14,-0.31%
09/18/2023,34624.27,34639.25,34724.59,34545.56,+0.02%
09/15/2023,34618.77,34902.04,34902.04,34572.31,-0.83%
09/14/2023,34907.51,34687.5,34977.8,34687.5,+0.96%
09/13/2023,34575.7,34667.28,34766.26,34510.48,-0.21%
09/12/2023,34647.44,34620.02,34851.71,34560.58,-0.05%
09/11/2023,34664.77,34718.8,34782.24,34578.82,+0.25%
09/08/2023,34577.28,34512.3,34626.9,34474.3,+0.22%
09/07/2023,34500.99,34351.18,34560.46,34351.18,+0.16%
09/06/2023,34444.38,34611.68,34611.68,34291.75,-0.57%
09/05/2023,34642.1,34824.39,34869.6,34637.06,-0.56%
09/01/2023,34838.01,34876.24,34978.69,34721.5,+0.34%
08/31/2023,34721.16,34909.09,35067.27,34720.4,-0.49%
08/30/2023,34890.77,34847.8,35024.64,34813.48,+0.11%
08/29/2023,34852.87,34531.12,34864.13,34531.12,+0.85%
08/28/2023,34560.04,34441.64,34651.76,34441.64,+0.62%
08/25/2023,34346.96,34244.54,34440.08,34029.39,+0.72%
08/24/2023,34099.91,34439.83,34693.66,34098.08,-1.09%
08/23/2023,34474.17,34338.59,34534.72,34322.07,+0.54%
08/22/2023,34289.03,34494.17,34513.78,34257.81,-0.51%
08/21/2023,34464.41,34531.28,34570.92,34248.9,-0.11%
08/18/2023,34501.88,34265.23,34585.72,34265.23,+0.08%
