Date,Price,Open,High,Low,Change %
12/08/2023,16084.69,15955.04,16100.68,15937.58,+0.39%
12/07/2023,16022.49,15888.52,16040.99,15876.71,+1.48%
12/06/2023,15788.05,15990.2,15990.2,15777.16,-0.56%
12/05/2023,15877.71,15764.67,15931.84,15761.42,+0.24%
12/04/2023,15839.67,15837.12,15852.31,15695.58,-0.99%
12/01/2023,15997.58,15890.34,16013.49,15835.05,+0.31%
11/30/2023,15947.87,15986.4,16011.98,15825.83,-0.25%
11/29/2023,15987.6,16111.59,16166.18,15976.69,-0.14%
11/28/2023,16010.43,15939.12,16031.38,15921.45,+0.30%
11/27/2023,15961.98,15971.05,16045.3,15933.04,-0.11%
11/24/2023,15980.11,15972.89,16007.42,15940.62,-0.13%
11/22/2023,16001.39,16027.18,16118.43,15964.04,+0.43%
11/21/2023,15933.62,15952.06,15967.34,15867.85,-0.58%
11/20/2023,16027.06,15846.14,16056.43,15846.14,+1.19%
11/17/2023,15837.99,15803.98,15876.82,15767.03,+0.03%
11/16/2023,15833.17,15765.07,15842.63,15738.49,+0.10%
11/15/2023,15817.18,15882.78,15904.36,15765.37,+0.03%
11/14/2023,15812.47,15745.42,15850.28,15727.96,+2.13%
11/13/2023,15482.79,15470.03,15524.56,15405.5,-0.30%
11/10/2023,15529.12,15252.23,15534.81,15238.05,+2.25%
11/09/2023,15187.9,15349.5,15381.93,15171.32,-0.82%
11/08/2023,15313.24,15315.77,15342.86,15220.98,+0.11%
11/07/2023,15296.02,15201.77,15335.39,15153.73,+0.93%
11/06/2023,15154.93,15139.15,15180.19,15065.14,+0.37%
11/03/2023,15099.49,14981.99,15149.71,14965.29,+1.21%
11/02/2023,14919.54,14855.0,14930.54,14794.18,+1.74%
11/01/2023,14664.91,14455.32,14677.51,14442.71,+1.77%
10/31/2023,14409.78,14340.45,14420.26,14233.31,+0.52%
10/30/2023,14335.51,14282.11,14388.15,14225.94,+1.09%
10/27/2023,14180.42,14242.26,14320.9,14131.55,+0.50%
10/26/2023,14109.57,14315.7,14372.27,14058.33,-1.89%
10/25/2023,14381.64,14643.23,14643.69,14362.31,-2.47%
10/24/2023,14745.86,14679.08,14774.16,14610.33,+0.97%
10/23/2023,14604.85,14515.34,14746.37,14419.06,+0.30%
10/20/2023,14560.88,14750.25,14780.99,14552.31,-1.50%
10/19/2023,14783.13,14981.47,15022.88,14749.61,-0.85%
10/18/2023,14909.26,15024.23,15103.77,14866.07,-1.41%
10/17/2023,15122.01,15005.61,15187.06,14933.25,-0.33%
10/16/2023,15172.73,15054.48,15209.41,15047.97,+1.18%
10/13/2023,14995.12,15226.58,15231.09,14943.74,-1.24%
10/12/2023,15184.1,15265.16,15333.98,15090.8,-0.37%
10/11/2023,15241.12,15195.81,15247.99,15119.79,+0.72%
10/10/2023,15131.52,15075.38,15241.86,15051.17,+0.56%
10/09/2023,15047.16,14872.03,15070.6,14816.38,+0.49%
10/06/2023,14973.24,14621.66,15021.38,14576.74,+1.70%
10/05/2023,14723.22,14766.85,14784.69,14584.39,-0.36%
10/04/2023,14776.25,14613.23,14803.04,14592.69,+1.45%
