Date,Price,Open,High,Low,Change %
12/01/2023,1865.7,1810.9,1869.6,1797.0,+2.95%
11/30/2023,1812.2,1805.6,1822.2,1800.8,+0.35%
11/29/2023,1805.8,1798.7,1834.5,1797.5,+0.49%
11/28/2023,1797.0,1805.3,1809.3,1788.6,-0.40%
11/27/2023,1804.2,1810.2,1811.3,1789.0,-0.38%
11/24/2023,1811.0,1798.7,1815.0,1795.3,+0.63%
11/23/2023,1799.7,1796.7,1803.4,1796.3,+0.04%
11/22/2023,1798.9,1789.1,1811.7,1787.1,+0.57%
11/21/2023,1788.7,1813.3,1816.4,1784.7,-1.29%
11/20/2023,1812.1,1801.9,1815.8,1794.5,+0.58%
11/18/2023,1801.6,1801.6,1801.6,1801.6,-0.04%
11/17/2023,1802.4,1783.7,1805.6,1780.4,+1.29%
11/16/2023,1779.4,1805.7,1813.5,1770.5,-1.61%
11/15/2023,1808.5,1807.9,1838.5,1801.6,+0.18%
11/14/2023,1805.2,1712.2,1808.2,1707.1,+5.47%
11/13/2023,1711.5,1709.0,1717.4,1694.5,0.00%
11/10/2023,1711.5,1694.4,1717.1,1687.4,+1.10%
11/09/2023,1692.9,1716.6,1733.8,1689.7,-1.59%
11/08/2023,1720.2,1739.5,1743.0,1713.7,-1.14%
11/07/2023,1740.1,1744.3,1746.8,1727.1,-0.32%
11/06/2023,1745.6,1767.3,1772.3,1735.4,-1.25%
11/03/2023,1767.7,1720.8,1779.6,1719.9,+2.73%
11/02/2023,1720.7,1675.8,1723.6,1675.4,+2.64%
11/01/2023,1676.4,1665.6,1678.2,1652.4,+0.48%
10/31/2023,1668.4,1652.2,1672.4,1644.2,+0.90%
10/30/2023,1653.6,1648.3,1670.8,1641.7,+0.52%
10/27/2023,1645.1,1666.3,1676.3,1638.8,-1.17%
10/26/2023,1664.5,1659.2,1681.2,1649.0,+0.22%
10/25/2023,1660.9,1688.5,1689.6,1657.8,-1.66%
10/24/2023,1688.9,1681.6,1701.2,1677.7,+0.76%
10/23/2023,1676.1,1692.4,1699.7,1670.9,-0.81%
