Date,Price,Open,High,Low,Change %
12/06/2023,4549.34,4586.23,4590.74,4546.5,-0.39%
12/05/2023,4567.18,4557.25,4578.56,4551.68,-0.06%
12/04/2023,4569.78,4564.37,4572.37,4546.72,-0.54%
12/01/2023,4594.63,4559.43,4599.39,4554.71,+0.59%
11/30/2023,4567.78,4554.87,4569.89,4537.24,+0.38%
11/29/2023,4550.58,4571.84,4587.64,4547.15,-0.09%
11/28/2023,4554.89,4545.55,4568.14,4540.51,+0.10%
11/27/2023,4550.43,4554.86,4560.52,4546.32,-0.20%
11/24/2023,4559.34,4555.84,4560.31,4552.8,+0.06%
11/22/2023,4556.62,4553.04,4568.43,4545.05,+0.41%
11/21/2023,4538.19,4538.77,4542.14,4525.51,-0.20%
11/20/2023,4547.38,4511.7,4557.11,4510.36,+0.74%
11/17/2023,4514.02,4509.55,4520.12,4499.66,+0.13%
11/16/2023,4508.24,4497.08,4511.99,4487.83,+0.12%
11/15/2023,4502.88,4505.3,4521.17,4495.31,+0.16%
11/14/2023,4495.7,4458.97,4508.67,4458.97,+1.91%
11/13/2023,4411.55,4406.66,4421.76,4393.82,-0.08%
11/10/2023,4415.24,4364.15,4418.03,4353.34,+1.56%
11/09/2023,4347.35,4391.41,4393.4,4343.94,-0.81%
11/08/2023,4382.78,4384.37,4391.2,4359.76,+0.10%
11/07/2023,4378.38,4366.21,4386.26,4355.41,+0.28%
11/06/2023,4365.98,4364.27,4372.21,4347.53,+0.18%
11/03/2023,4358.34,4334.23,4373.62,4334.23,+0.94%
11/02/2023,4317.78,4268.26,4319.72,4268.26,+1.89%
11/01/2023,4237.86,4201.27,4245.64,4197.74,+1.05%
10/31/2023,4193.8,4171.33,4195.55,4153.12,+0.65%
10/30/2023,4166.82,4139.39,4177.47,4132.94,+1.20%
10/27/2023,4117.37,4152.93,4156.7,4103.78,-0.48%
10/26/2023,4137.23,4175.99,4183.6,4127.9,-1.18%
10/25/2023,4186.77,4232.42,4232.42,4181.42,-1.43%
10/24/2023,4247.68,4235.79,4259.38,4219.43,+0.73%
10/23/2023,4217.04,4210.4,4255.84,4189.22,-0.17%
10/20/2023,4224.16,4273.85,4276.56,4223.03,-1.26%
10/19/2023,4278.0,4321.36,4339.54,4269.69,-0.85%
10/18/2023,4314.6,4357.35,4364.2,4303.84,-1.34%
10/17/2023,4373.2,4345.23,4393.57,4337.54,-0.01%
10/16/2023,4373.63,4342.37,4383.33,4342.37,+1.06%
10/13/2023,4327.78,4360.49,4377.1,4311.97,-0.50%
